"ORDCOM","FECORD","CODPRO","DESORD","CRECON","PLAENT","TIECAN","MONORD","DTOORD","REFCOM","STAORD","AFEPRE","CONPAG","FORENT","FECANU","TIPMON","VALMON","TIPCOM","TIPORD","TIPO","CODUNI","CODEMP","NOTORD","TIPDOC","TIPPRO","AFEPRO","DOCCOM","REFSOL","TIPFIN","JUSTIF","CONCEPTO","REFREQ","RESENT","LUGENT","LUGCOM","EMBALAJE","ORIGEN","CLAFIE","CLAPEN","CLAESP","CLAEXT","CODINTUSU","FIANZA","FECFIA","INSFIN","CODUBI","CODMEDCOM","CODPROCOM","CODPAI","CODEDO","CODMUN","APLART","APLART6","ALCORD","CODTIPCOM","NUMCON","FECCON","NUMPTO","FECPTO","NUMRES","PORTOL","FECAPR","MONFIA","TIPFIA","CEDFIRAUT","CODTIPART","OBSEMB","CODTIPFIN","CODSUC","CODARTEMP","CODPROCCONT"
"20OCG00132",2020-02-28 00:00:00,"0000001380","SERVICIO DE ALMUERZO, DESAYUNOS E HIDRATACION PARA EL PERSONAL QUE PRESTARA APOYO EN EL EMPAQUETADO DE BOLSAS CLAP QUE SERAN DISTRIBUIDAS EN LA PARROQUIA EL CEMENTERIO.",,,,192003200,0,"20OCG00132",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST000553,,,,,,CARACAS,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,RLAMUNO,N,,,"0025",,,,,,NO,NO,,,,,COM-0009-2020,2020-02-28 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,
"20CAL00338",2020-03-03 00:00:00,"0000000174","ADQUISICION DE 17,72727 TM DE CERDO  A LA EMPRESA ALIMENTOS ESSAGUA A UN PRECIO UNITARIO DE 2200 $/TM (ADQUISICION PRODUCTO TERMINADO POR COMPENSACION DE DEUDA)",,,,2872434630,0,"20CAL00338",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCCP,SC000600,,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jledezma,N,,,"0025",,,,,,NO,NO,,,,,XX,2020-03-03 00:00:00,X,0,1899-12-30 00:00:00,,,V15822782           ,"0000000021",,"000001",,,"001"
"20CAL00373",2020-03-04 00:00:00,"0000000389",ADQUISICION DE 17.73 TM DE CERDO  A LA EMPRESA AGROVALENCA A UN PRECIO UNITARIO DE 2200 $/TM (ADQUISICION PRODUCTO TERMINADO POR COMPENSACION DE DEUDA),,,,2872434630,0,"20CAL00373",N,S,,SEGÚN ACUERDO ENTRE PARTES,2020-03-04 00:00:00,"001",1,,C,"0",,,,,,N,OCCP,SC000689,,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jledezma,N,,,"0025",,,,,,NO,NO,,,,,XX,2020-03-04 00:00:00,X,0,1899-12-30 00:00:00,,,V12079041           ,"0000000021",,"000001",,,"001"
"20CAL00374",2020-03-04 00:00:00,"0000000389",ADQUISICION DE 17.73 TM DE CERDO  A LA EMPRESA AGROVALENCA A UN PRECIO UNITARIO DE 2200 $/TM (ADQUISICION PRODUCTO TERMINADO POR COMPENSACION DE DEUDA),,,,2872434630,0,"20CAL00374",N,N,,SEGÚN ACUERDO ENTRE PARTES,2020-03-04 00:00:00,"001",1,,C,"0",,,,,,N,OCCP,SC000689,,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jledezma,N,,,"0025",,,,,,NO,NO,,,,,XX,2020-03-04 00:00:00,X,0,,,,V12079041           ,"0000000021",,"000001",,,"001"
"20OCG00290",2020-05-06 00:00:00,"0000001507","SERVICIO DE REFRIGERIOS PARA 40 PERSONAS QUE INCLUYE (ALIMENTOS, BEBIDAS, FESTEJOS, MESONEROS, TRANSPORTE) PARA INAUGURACIÓN DE LA SALA SITUACIONAL EN PISO 09 EL 17/04/2020.",,,,443004000,0,"20OCG00290",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST001087,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,CSARMIENTO,N,,,"0025",,,,,,NO,NO,,,,,"2020",2020-05-06 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"002"
"20CAL01086",2020-06-18 00:00:00,"0000001042","ADQUISICION DE 680 TM DE HARINA DE MAIZ PRECOCIDA A UN PRECIO DE 675 EUROS/TM A LA EMPRESA CEREALES & PILONES BFC, C.A. CON UNA PRESENTACION 20X1 KG BAJO LA MODALIDAD (FONDEN) PRODUCTO TERMINADO.",,,,459000,0,"20CAL01086",A,N,,SEGÚN ACUERDO ENTRE PARTES,,"008",1,,C,"0",,,,,,N,OCFC,,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jpabon,N,,,"0025",,,,,,NO,NO,,,,,XXXXX,2020-06-18 00:00:00,XXXXXX,0,,,,V10762248           ,"0000000021",,"000001",,,"001"
"20CAL00534",2020-03-24 00:00:00,"0000001904","ADQUISICION DE 1.540 TM DE HARINA DE MAIZ A UN PRECIO DE 47.409.298,701 Bs. S/TM EN PRESENTACION 20 X 1 KILO A LA EMPRESA INVERSIONES ALICEOLE C.A  (ADQUISICION PRODUCTO TERMINADO) BUQUE W ATLANTIC MAYA COMPENSACION",,,,73010320000,0,"20CAL00534",N,S,,A NIVEL NACIONAL,2020-04-02 00:00:00,"001",1,,C,"0",,,,,,N,OCCP,SC000907,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jlopez,N,,,"0025",,,,,,NO,NO,,,,,"0003",2020-03-24 00:00:00,JDCU-2020-0003,2,1899-12-30 00:00:00,,,V11793170           ,"0000000021",,"000001",,,"001"
"20CAL00535",2020-03-24 00:00:00,"0000000069","ADQUISICION DE  70 TM DE HARINA DE ARROZ PRECOCIDA  A UN PRECIO DE 63.646.407,00 Bs. S/TM EN PRESENTACION 40 X 1 KILO A LA EMPRESA INDUSTRIA PROCESADORA DE ARROZ SANTONI INPROA SANTONI, C.A. PRODUCTO TERMINADO (ADQUISICION) COMPENSACION VENTA DE 140 TM DE ARROZ.",,,,4455248490,0,"20CAL00535",A,S,,A NIVEL NACIONAL,,"001",1,,C,"0",,,,,,N,OCCP,SC000895,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jlopez,N,,,"0025",,,,,,NO,NO,,,,,"0003",2020-03-24 00:00:00,JDCU-2020-0003,2,1899-12-30 00:00:00,,,V13352889           ,"0000000021",,"000001",,,"001"
"20CAL00536",2020-03-24 00:00:00,"0000001904","ADQUISICION DE 40.257,65 COMBOS DE ALIMENTOS A UN PRECIO DE 975.911,574 Bs. S/COMBO A LA EMPRESA INVERSIONES ALICEOLI C.A  (ADQUISICION PRODUCTO TERMINADO) COMPENSACION ASIGNACION 1.000 TM RUBRO TRIGO PANADERO.",,,,39287906509.57,0,"20CAL00536",A,S,,A NIVEL NACIONAL,,"001",1,,C,"0",,,,,,N,OCCP,SC000908,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jpabon,N,,,"0025",,,,,,NO,NO,,,,,"0003",2020-03-24 00:00:00,JDCU-2020-0003,2,1899-12-30 00:00:00,0,,V11793170           ,"0000000021",,"000001",,,"001"
"20OCG00215",2020-03-24 00:00:00,"0000002231",ADQUISICION DE TERMOS PARA CAFE A SER UILIZADOS EN LAS DIFERENTES REUNIONES DE LA CUSPAL ,,,,10759000,0,"20OCG00215",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC000896,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,eramirez,N,,,"0025",,,,,,NO,NO,,,,,COM-2020-000137,2020-03-24 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"002"
"20OCG00216",2020-03-24 00:00:00,"0000002231",ADQUISICION DE PAPEL SANITARIO Y DESINFECTANTE PARA EL STOCK DEL ALMACEN DE LA CUSPAL,,,,47884800,0,"20OCG00216",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC000901,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,eramirez,N,,,"0025",,,,,,NO,NO,,,,,COM-2020-000138,2020-03-24 00:00:00,,0,1899-12-30 00:00:00,0,,                    ,"0000000001",,,,,
"20OCG00226",2020-03-27 00:00:00,"0000001838","SERVICIOS DE MANTENIMIENTO PREVENTIVO  E INSTALACION DE COMPRESORES DE EQUIPO DE AIRES ACONDICIONADOS, EMBOBINADO DE MOTOR, QUE SE ENCUENTRA ASIGNADO AL FRIGORIFICO DE TAZON, PERTENECIENTE A LA CUSPAL.",,,,934353487.65,0,"20OCG00226",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST000938,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,YCRODRIGUE,N,,,"0025",,,,,,NO,NO,,,,,COM-00146-2020,2020-03-27 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"002"
"20OCG00227",2020-03-27 00:00:00,"0000001838","SERVICIO DE REPARACION, ACONDICIONAMIENTO Y PINTURA EN LAS DIFERENTE AREAS DEL FRIGORIFICO DE TAZON, PERTECIENTE A LA CUSPAL.
",,,,2109131758.07,0,"20OCG00227",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST000940,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,YCRODRIGUE,N,,,"0025",,,,,,NO,NO,,,,,COM-00147-2020,2020-03-27 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,,,,
"20OCG00228",2020-03-27 00:00:00,"0000001292","SERVICIOS Y SUMINISTROS DE SEÑALES DE SEGURIDAD INDUSTRIAL, PANCARTAS, IMPRESIONES EN VINILES CON LOGO CLAP, PARA EL FRIGORIFICO DE TAZON, ENMARCADO EN LA VISITA PRESIDENCIAL CON MOTIVO A LA INAUGURACION DE LA SALA DE DESPOSTE  UBICADA EN DICHO FRIGORIFIC",,,,219901200,0,"20OCG00228",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST000946,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,YCRODRIGUE,N,,,"0025",,,,,,NO,NO,,,,,COM-00148-2020,2020-03-27 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"002"
"20CAL00540",2020-03-30 00:00:00,"0000002351","ADQUISICION DE 120 TM DE LECHE EN POLVO   A UN PRECIO DE  3.600 EUROS /TM  EN PRESENTACION  DE  1 KG A LA EMPRESA  SUMINISTRSO 1979, C.A.  (ADQUISICION PRODUCTO TERMINADO). ",,,,432000,0,"20CAL00540",N,N,,SEGÚN ACUERDO ENTRE PARTES,2020-03-30 00:00:00,"008",1,,C,"0",,,,,,N,OCFC,,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,SIN DEFINIR,N,A,,,,,JPABON,N,,,"0025",,,,,,NO,NO,,,,,XXXXX,2020-03-30 00:00:00,XXXXX,0,,,,V14689449           ,"0000000021",,"000001",,,"001"
"20CAL00544",2020-03-31 00:00:00,"0000001732","ADQUISICION DE 299 TM DE LENTEHAS  A UN PRECIO 900  EUROS /TM  EN PRESENTACION  DE  24X1  A LA EMPRESA  MEGATRONIC, C.A.  (ADQUISICION PRODUCTO TERMINADO). ",,,,269100,0,"20CAL00544",A,N,,SEGÚN ACUERDO ENTRE PARTES,,"008",1,,C,"0",,,,,,N,OCFC,,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jpabon,N,,,"0025",,,,,,NO,NO,,,,,XX,2020-03-31 00:00:00,XXXX,0,,,,V20687924           ,"0000000021",,"000001",,,"001"
"20CAL00545",2020-04-03 00:00:00,"0000000145",ADQUISICION DE   385 TM DE HARINA DE MAIZ A UN PRECIO DE 47.409.298.701299 Bs. S/TM EN PRESENTACION 20 X 1 KILO A LA EMPRESA  ALIMENTOS CARABOBO ALIMCA  (ADQUISICION PRODUCTO TERMINADO) BUQUE MV W ATLANTIC MAYA.,,,,18252580000,0,"20CAL00545",N,S,,A NIVEL NACIONAL,2020-04-06 00:00:00,"001",1,,C,"0",,,,,,N,OCCP,SC000979,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jpabon,N,,,"0025",,,,,,NO,NO,,,,,XXX,2020-04-03 00:00:00,XXXXX,0,1899-12-30 00:00:00,0,,V7107164            ,"0000000021",,"000001",,,"001"
"20CAL00546",2020-04-03 00:00:00,"0000000901",ADQUISICION DE   770 TM DE HARINA DE MAIZ A UN PRECIO DE 47.409.298.701299 Bs. S/TM EN PRESENTACION 20 X 1 KILO A LA EMPRESA  ALIMENTOS CARABOBO ALIMCA  (ADQUISICION PRODUCTO TERMINADO) BUQUE MV W ATLANTIC MAYA.,,,,36505160000,0,"20CAL00546",A,S,,A NIVEL NACIONAL,,"001",1,,C,"0",,,,,,N,OCCP,SC000978,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jpabon,N,,,"0025",,,,,,NO,NO,,,,,XXXX,2020-04-03 00:00:00,XXXXX,2,1899-12-30 00:00:00,0,,V14056585           ,"0000000021",,"000001",,,"001"
"20CAL00547",2020-04-03 00:00:00,"0000001185","ADQUISICION DE 228.000 CAJAS DE SARDINA   A UN PRECIO DE 12.96  EUROS /LA CAJA EN PRESENTACION  DE  24X170GRS  A LA EMPRESA  GRUPO AS 2000,C.A.  (ADQUISICION PRODUCTO TERMINADO). ",,,,2954880,0,"20CAL00547",A,N,,A NIVEL NACIONAL,,"008",1,,C,"0",,,,,,N,OCFC,,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jpabon,N,,,"0025",,,,,,NO,NO,,,,,XXXXX,2020-04-03 00:00:00,XXXXXX,2,,,,V17549293           ,"0000000021",,"000001",,,"001"
"20CAL00549",2020-04-06 00:00:00,"0000001891","ADQUISICION 162,50TM DE HARINA DE MAIZ PRECOCIDA A UN PRECIO DE 16.941.120,00/TM A LA EMPRESA AGRO CABISOGUARNAC, C.A. (ADQUISICION DE PRODUCTO TERMINADO)",,,,2752932000,0,"20CAL00549",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCCM,SC000984,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,jomolina,N,,,"0025",,,,,,NO,NO,,,,,X,2020-04-06 00:00:00,X,0,1899-12-30 00:00:00,,,V13586203           ,"0000000021",,"000001",,,"001"
"20OCG00397",2020-07-28 00:00:00,"0000002650",REPARACION Y MANTENIMIENTO DE AIRE ACONDICIONADO CD-CUSPAL-014-2020 (UBICADO EN LA PLANTA BAJA DE CUSPAL),,,,25770187524,0,"20OCG00397",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,S,"0",,,,,,N,OSNP,ST001561,,,,,,,,N,A,,,,,bzaiman,N,,,"0025",,,,,,NO,NO,,,,,"2020",2020-07-28 00:00:00,,0,1899-12-30 00:00:00,,,"18030579            ","0000000001",,,,,
"20OCG00399",2020-07-28 00:00:00,"0000002655",SUMINISTROS DE ALIMENTOS Y COMIDAS REQUERIDAS PARA LA CORPORACION CD-CUSPAL-003-2020 (PARA DOTAR LA  COCINA DE LA PRESIDENCIA DE LA CUSPAL EN EL PERÍODO CORRESPONDIENTE DEL 13 AL 18 DE JULIO DEL AÑO EN CURSO),,,,2173370000,0,"20OCG00399",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC001567,,,,,,,,N,A,,,,,bzaiman,N,,,"0025",,,,,,NO,NO,,,,,"2020",2020-07-28 00:00:00,,0,1899-12-30 00:00:00,,,V11062825           ,"0000000001",,,,,
"20OCG00486",2020-10-26 00:00:00,"0000002655","SUMINISTRO DE MATERIALES Y UTENSILIOS PARA SER UTILIZADOS EN EL COMEDOR  CD-CUSPAL-0065-2020. 
",,,,16832760000,0,"20OCG00486",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC001875,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,ygmendoza,N,,,"0025",,,,,,NO,NO,,,,,COM-202-00256,2020-10-26 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"001"
"20OCG00487",2020-10-26 00:00:00,"0000002653","ADQUISICION DE CAJAS DE AGUA MINERAL PARA EL STOCK DE ALMACEN DE CUSPAL CD-CUSPAL-066-2020
",,,,1009200000,0,"20OCG00487",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC001882,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,ygmendoza,N,,,"0025",,,,,,NO,NO,,,,,COM-202-00257,2020-10-26 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"001"
"20OCG00488",2020-10-26 00:00:00,"0000002652",ADQUISICION DE MATERIALES PARA LA ADECUACION Y REMODELACION DEL PISO 10 GERENCIA DE COMERCIALIZACION Y ATENCION AL CIUDADANO CD-CUSPAL-067-2020,,,,2627494366,0,"20OCG00488",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC001887,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,ygmendoza,N,,,"0025",,,,,,NO,NO,,,,,COM-202-00258,2020-10-26 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"001"
"20OCG00489",2020-10-26 00:00:00,"0000002645",ADQUISICION DE UTILES MEDICOS PARA GARANTIZAR LA PROTECCION DE LOS TRABAJADORES CONTRA EL COVID-19-CD CUSPAL 002-2020 (GUANTES),,,,522000000,0,"20OCG00489",A,S,,SEGÚN ACUERDO ENTRE PARTES,,"001",1,,C,"0",,,,,,N,OCMS,SC001896,,,,,,REPUBLICA BOLIVARIANA DE VENEZUELA,REPUBLICA BOLIVARIANA DE VENEZUELA,N,A,,,,,ygmendoza,N,,,"0025",,,,,,NO,NO,,,,,"2020",2020-10-26 00:00:00,,0,1899-12-30 00:00:00,,,                    ,"0000000001",,"000001",,,"001"
